,brand,store,sido,gungu,address,phone
0,pelicana,가경동점,충청북도,청주시흥덕구,충청북도 청주시흥덕구 풍산로 103(복대동),043-233-4091
1,pelicana,가남점,경기도,여주시,경기도 여주시 가남면 태평중앙1길 8-6,031-883-5746
2,pelicana,가래비점,경기도,양주시,경기도 양주시 광적면 가래비길 24,031-855-6126
3,pelicana,가수원점,대전광역시,서구,대전광역시 서구 벌곡로 1353번길 63,
4,pelicana,가양동점,서울특별시,강서구,"서울특별시 강서구 양천로57길 10-11, 101-1호 (가양동, 이스타빌2차)",02-3663-3700
5,pelicana,가오점,대전광역시,동구,대전광역시 동구 은어송로 77번길 17,
6,pelicana,가운점,경기도,남양주시,경기도 남양주시 가운로2길 63 가운동삼원프라자 105호,031-557-9222
7,pelicana,가정지구1점,인천광역시,서구,인천광역시 서구 봉오재2로 37 104호,032-567-5885
8,pelicana,가평역전점,경기도,가평군,경기도 가평군 가평읍 가화로 54,031-582-5242
9,pelicana,가평점,경기도,가평군,경기도 가평군 가평읍 가화로 125-1,031-582-4419
10,pelicana,가흥점,경상북도,영주시,경상북도 영주시 창진로 59,054-634-2500
11,pelicana,간성점,강원도,고성군,강원도 고성군 간성읍 간성로 45,033-681-3330
12,pelicana,간현점,강원도,원주시,강원도 원주시 지정면 간현로 188,033-731-0887
13,pelicana,갈곶원동점,경기도,오산시,경기도 오산시 오산로 68(갈곶동),
14,pelicana,갈마점,대전광역시,서구,대전광역시 서구 갈마로 60(갈마동),042-531-9962
15,pelicana,갈산점,인천광역시,부평구,인천광역시 부평구 굴포로 42,032-522-9292
16,pelicana,갈산점(이천),경기도,이천시,"경기도 이천시 갈산로 81(갈산동, 102호)",031-638-8320
17,pelicana,갈산점(홍성),충청남도,홍성군,충청남도 홍성군 갈산면 갈산로 109-1,041-634-1881
18,pelicana,감곡점,충청북도,음성군,충청북도 음성군 감곡면 장감로 142,043-881-3903
19,pelicana,강경점,충청남도,논산시,충청남도 논산시 강경읍 계백로 126-1,041-745-1206
20,pelicana,강구점,경상북도,영덕군,경상북도 영덕군 강구면 강구리 453,054-733-5544
21,pelicana,강남대점,경기도,용인시기흥구,경기도 용인시기흥구 강남동로114번 22(상하동),031-284-9292
22,pelicana,강릉교동점,강원도,강릉시,강원도 강릉시  강릉대로 269 (교동),033-642-9800
23,pelicana,강릉서부점,강원도,강릉시,강원도 강릉시  임영로 170-3(임당동),033-641-1930
24,pelicana,강릉옥계점,강원도,강릉시,강원도 강릉시  옥계면 현내시장길 59,033-534-2587
25,pelicana,강릉옥천동점,강원도,강릉시,강원도 강릉시  경강로 2166 1층(옥천동),033-642-1532
26,pelicana,강릉유천점,강원도,강릉시,강원도 강릉시  선수촌로63번길 5 우미린상가106,033-641-8494
27,pelicana,강릉택지점,강원도,강릉시,강원도 강릉시  율곡초교길39번 23(교동),033-645-6288
28,pelicana,강북점,대구광역시,북구,대구광역시 북구 읍내동 대천로9길 11-5,053-322-5090
29,pelicana,강상점,경기도,양평군,"경기도 양평군 강상면 강남로 922, 107호",031-775-8259
30,pelicana,강서점,충청북도,청주시흥덕구,충청북도 청주시흥덕구 가로수로1154 21-5(강서동),043-232-5254
31,pelicana,강선점,경기도,고양시일산서구,경기도 고양시일산서구 강선로 67번지 유원상가 103호,031-912-5558
32,pelicana,강진점,전라남도,강진군,전라남도 강진군 강진읍 탐진로 76-1,061-433-8292
33,pelicana,강화2점,인천광역시,강화군,인천광역시 강화군 강화읍 중앙로 27,032-934-9200
34,pelicana,개군점,경기도,양평군,경기도 양평군 개군면 하자포길 35,031-772-4612
35,pelicana,개금점,부산광역시,부산진구,부산광역시 부산진구 개금본동로32 ,051-897-6061
36,pelicana,개봉1점,서울특별시,구로구,"서울특별시 구로구 개봉로11길 13, 1층 3호(개봉동)",02-2688-9292
37,pelicana,개신점,충청북도,청주시서원구,충청북도 청주시서원구 장구봉로 130 1층,043-218-9292
38,pelicana,개운점,강원도,원주시,강원도 원주시 송림길 48-10(개운동),033-761-2592
39,pelicana,개포3점,서울특별시,강남구,서울특별시 강남구 개포로22길 23. 지상1층(개포동),
40,pelicana,거모점,경기도,시흥시,"경기도 시흥시 도일로 100-3, 103호",031-492-8222
41,pelicana,거제상동점,경상남도,거제시,경상남도 거제시 상동1길 15-11,055-636-0588
42,pelicana,거진점,강원도,고성군,강원도 고성군 거진읍 거탄진로 117,033-682-3327
43,pelicana,거창점,경상남도,거창군,경상남도 거창군 거창읍 거열로1길 43,055-945-2765
44,pelicana,건등점,강원도,원주시,"강원도 원주시 문막읍 왕건로 96, 지하1층",033-734-7282
45,pelicana,건영점,경기도,고양시일산서구,경기도 고양시일산서구  성저로110,
46,pelicana,건천점,경상북도,경주시,"경상북도 경주시 건천읍 내서로 1126, 101",054-751-3510
47,pelicana,검암경서점,인천광역시,서구,"인천광역시 서구 승학로 426, 우주프라자 104",032-565-7768
48,pelicana,경기송산점,경기도,화성시,경기도 화성시 수노을1로 191,
49,pelicana,경남고성점,경상남도,고성군,경상남도 고성군 고성읍 중앙로43번길71,055-673-6633
50,pelicana,경남금산점,경상남도,진주시,경상남도 진주시 금산면 금산로 101,055-763-9299
51,pelicana,경남사천점,경상남도,사천시,경상남도 사천시 사천읍 정의1길 16,055-852-3197
52,pelicana,경남양산점,경상남도,양산시,경상남도 양산시 중앙로 111,055-385-5329
53,pelicana,경복점,서울특별시,강남구,"서울특별시 강남구 봉은사로43길 8, 1층 (논현동)",
54,pelicana,경안점,경기도,광주시,경기도 광주시 중앙로 179 (송정동),031-762-0415
55,pelicana,경포대점,강원도,강릉시,강원도 강릉시  경포로 489-6,033-644-1600
56,pelicana,계양1동점,인천광역시,계양구,인천광역시 계양구 황어로115번길 10,032-512-9876
57,pelicana,고강2점,경기도,부천시오정구,경기도 부천시오정구 고리울로52번길 35,032-671-1980
58,pelicana,고담리점,경기도,이천시,경기도 이천시 대월면 대산로288번길 72,031-637-6683
59,pelicana,고대점,충청남도,당진시,충청남도 당진시 고대면 고대로 47,041-352-8295
60,pelicana,고덕역점,서울특별시,강동구,"서울특별시 강동구 아리수로64길 11, 1층 (고덕동)",02-428-0777
61,pelicana,고덕점,충청남도,예산군,충청남도 예산군 고덕면 용고길 353,041-337-8319
62,pelicana,고매리점,경기도,용인시기흥구,경기도 용인시기흥구 동탄기흥로 700 1층 (고매동),031-286-4296
63,pelicana,고북점,충청남도,서산시,충청남도 서산시 고북면 고북1로 305-3,041-663-1956
64,pelicana,고양동점,경기도,고양시덕양구,경기도 고양시덕양구 혜음로8 ,
65,pelicana,고잔2점,경기도,안산시단원구,"경기도 안산시단원구 민속공원로 95, 104호",031-414-9070
66,pelicana,고잔점,경기도,안산시단원구,"경기도 안산시단원구 적금로 244, 문화연립상가동 110",031-401-1452
67,pelicana,고척점,서울특별시,구로구,서울특별시 구로구 고척로 183-1,
68,pelicana,고천점,경기도,의왕시,"경기도 의왕시 효행로 44(오전동, 의왕빌딩3호)",031-454-0055
69,pelicana,고한점,강원도,정선군,강원도 정선군  고한읍 고한로 151-1,033-591-8212
70,pelicana,곡반정점,경기도,수원시권선구,경기도 수원시권선구 곡선로50번길 48,
71,pelicana,곤명점,경상남도,사천시,경상남도 사천시 곤명면 완사2길23,055-853-8382
72,pelicana,곤지암점,경기도,광주시,경기도 광주시 곤지암읍 곤지암로 158,031-762-3660
73,pelicana,공덕동점,서울특별시,마포구,서울특별시 마포구 효창목4길 25,02-707-1371
74,pelicana,공덕역점,서울특별시,마포구,"서울특별시 마포구 마포대로11길 75 102 (공덕동, 공덕현대아파트상가)",02-704-0401
75,pelicana,공도점,경기도,안성시,경기도 안성시 공도읍 고무다리길 10-1,031-653-9441
76,pelicana,공릉철길공원점,서울특별시,노원구,서울특별시 노원구 동일로184길 69. 1층(공릉동),02-978-9222
77,pelicana,공성점,경상북도,상주시,경상북도 상주시 공성면 옥산리 290-8,054-535-5000
78,pelicana,공주산성동점,충청남도,공주시,충청남도 공주시 산성찬호길 1(산성동),041-854-1215
79,pelicana,공주중동점,충청남도,공주시,충청남도 공주시 웅진로 140(중동),041-852-8850
80,pelicana,관산점,경기도,고양시덕양구,경기도 고양시덕양구 통일로802번길 82,031-963-2740
81,pelicana,관양1점,경기도,안양시동안구,경기도 안양시동안구 관평로327번길 25 101호,031-388-5259
82,pelicana,관음점,대구광역시,북구,대구광역시 북구 칠곡중앙대로95 48-1,
83,pelicana,관저1점,대전광역시,서구,대전광역시 서구 관저동 981 원앙쇼핑109호,042-544-9292
84,pelicana,광교점,경기도,수원시영통구,"경기도 수원시영통구 대학1로8번길 59, 1층103호(이의동)",
85,pelicana,광나루점,서울특별시,광진구,"서울특별시 광진구 아차산로78길 165, 1층 102호(광장동)",02-455-5111
86,pelicana,광릉내점,경기도,남양주시,경기도 남양주시 진접읍 진벌로 85-4,031-529-9972
87,pelicana,광명1점,경기도,광명시,경기도 광명시 오리로 937,02-2688-7025
88,pelicana,광명2점,경기도,광명시,경기도 광명시 광화로 16,02-2681-4280
89,pelicana,광명역점,경기도,광명시,"경기도 광명시 신기로17번길 6, 1층102호(일직동,케이스퀘어)",02-898-1618
90,pelicana,광산점,광주광역시,광산구,광주광역시 광산구 송정로1번길 86,062-941-0550
91,pelicana,광안점,부산광역시,수영구,부산광역시 수영구 무학로33번길 55,051-753-8989
92,pelicana,광양점,전라남도,광양시,전라남도 광양시 광양읍 인서중앙길 43,061-762-2828
93,pelicana,광장동점,서울특별시,광진구,서울특별시 광진구 구의로16길 23,02-455-4566
94,pelicana,광주점,경기도,광주시,경기도 광주시 문화로 6(역동),
95,pelicana,광주지사,경기도,광주시, ,
96,pelicana,광천점,충청남도,홍성군,충청남도 홍성군 광천읍 광천로 312,041-642-0008
97,pelicana,광탄점,경기도,파주시,경기도 파주시 광탄면 혜음로 1127-1,031-947-3171
98,pelicana,광혜원점,충청북도,진천군,충청북도 진천군 광혜원면 화랑5길 8,043-535-2170
99,pelicana,괴산점,충청북도,괴산군,"충청북도 괴산군 괴산읍 읍내로11번길, 8-5",043-833-0444
100,pelicana,괴안1점,경기도,부천시소사구,"경기도 부천시소사구 부광로8번길 39, 104호 (괴안동)",032-343-4885
101,pelicana,괴정1점,대전광역시,서구,대전광역시 서구 갈마로 170,042-526-3222
102,pelicana,교대역점,서울특별시,서초구,서울특별시 서초구 서초대로60길 25 1층,02-585-4066
103,pelicana,교하신도시점,경기도,파주시,경기도 파주시 숲속노을로 300 상가동 1층 104호,
104,pelicana,구곡현대점,강원도,원주시,강원도 원주시 남원로 492-14(단구동1576-3),033-764-9291
105,pelicana,구래점,경기도,김포시,경기도 김포시  김포한강4로420번길 88,031-982-9936
106,pelicana,구례점,전라남도,구례군,전라남도 구례군 구례읍 중앙로 35,061-782-8838
107,pelicana,구로2동점,서울특별시,구로구,서울특별시 구로구 구로동로23길 7,02-854-1929
108,pelicana,구리남점,경기도,구리시,"경기도 구리시 안골로20번길 28(교문동, 1층)",031-569-9292
109,pelicana,구미송정점,경상북도,구미시,경상북도 구미시 신시로14길 14,054-443-8592
110,pelicana,구반월점,경기도,안산시상록구,경기도 안산시상록구 남산평1길 3,031-502-1140
111,pelicana,구성마북점,경기도,용인시기흥구,경기도 용인시기흥구 연원로 5(마북동),031-286-3854
112,pelicana,구암조촌점,전라북도,군산시,전라북도 군산시 서당길 9 102호,063-443-3396
113,pelicana,구운점,경기도,수원시권선구,"경기도 수원시권선구 구운로32, 1층(구운동)",031-292-6310
114,pelicana,구월1동점,인천광역시,남동구,인천광역시 남동구 용천로17번길 15,032-471-2484
